speaker,timestamp,End Time,words
Gus Demus,00:48:35:18,00;49;10;03,"He put the hot ashes in the pot and left him there for a night. And the other fellows, they didn't treat, you know, the that no matter. They didn't, see it. And the person, it just. Got fire in the box that they put them in, got fire in the floor and caught fire. And then pretty soon the, the, ceiling kind of fire and the whole business was burned down."
Sam Schrager,00:49:10:05,00;49;19;06,"Well, the the bridge there that you walk, you could walk over the bridge. You didn't have to walk through to the marker, did you have to walk through that?"
Gus Demus,00:49:19:09,00;49;34;02,"No, you had to walk that. There was a beach to come to town. Come through. Sorry you had to walk through that bridge because there was no more. You."
Gus Demus,00:49:34:04,00;49;43;23,"Were in other words, you were separated from the from the Americans altogether."
Gus Demus,00:49:43:26,00;50;01;15,"But, Holland came up here was they were separated. But you know who we are. Oh, you go to the town from. It was down, down below street. You see, the first thing there's the still goes by the same name."
Sam Schrager,00:50:01:17,00;50;16;21,"Well, how? I just really wonder how. How the people felt about that. Because to me, it doesn't seem very American to have to have, the different groups of people separate."
Gus Demus,00:50:16:23,00;50;26;13,"Well, and I assume I'll read to you. Yeah, but the, the Scandinavians were among Americans."
Gus Demus,00:50:26:15,00;51;09;15,"You know, Swedes and Norwegians and so on. They were they were up that way. But, there were many of them. They were good. They were made, you see, they brought their wives from the from the old country and those they did, and everyone got married. You they were more, people to, Learn quicker and to, I don't know, the language is, similar to what is a language similar to a man to the English language or not."
Gus Demus,00:51:09:18,00;51;25;16,"But they do have some English words and in their language and, not really. Yeah. It seems to me that they learn quicker than other nationalities."
Sam Schrager,00:51:25:19,00;51;28;05,"Well, did do you think that."
Gus Demus,00:51:28:08,00;51;40;03,"The you sign works? Some works. Father and grandfather was, Scandinavian? Yeah."
Sam Schrager,00:51:40:05,00;51;51;23,"Did the did the Italians and Greeks did this? Did some of them, mind that. I mean, did they did they just accept or did they feel it was they feel that was fair?"
Gus Demus,00:51:51:24,00;52;36;00,"Well, they didn't feel that way, but, because but they they didn't mind it because they couldn't they know that they didn't never hear, ability to mix, you see, because they weren't they did not understand the language. And that way they took their own language, and then they got along all right. The only thing was, if they had some, trouble, you know, that was, she was well, that good idea I follow that night I told you about, the night."
Sam Schrager,00:52:36:03,00;52;37;11,Where you went to see their.
Gus Demus,00:52:37:16,00;53;05;12,"Yeah. You like the front of the night? You know, you got killed in the fire there. Well, I couldn't understand. Learn them. Of course. Yes. And spoken and get somebody. But, understood. Then had to go in the court to. Yeah. Yeah. Well, me, through the court, but the. Well, yeah, I had to go through the court."
Gus Demus,00:53:05:12,00;53;10;06,"He had the, power of attorney see from his sister back then to."
Sam Schrager,00:53:10:09,00;53;11;04,
Gus Demus,00:53:11:06,00;53;22;14,"And in that case, I couldn't, do anything or do anything because I didn't understand enough English, and I still don't understand, but,"
Sam Schrager,00:53:22:16,00;53;25;14,"Oh, you got no trouble understanding what I say."
Gus Demus,00:53:25:16,00;53;32;24,"I know, but in in occasions like that, you don't get high or low."
Sam Schrager,00:53:32:27,00;53;48;24,"Yeah, that's true. You got to do that anyway. Nowadays, no matter how much English. Yeah. I the one thing about the swamp, I was wondering, did that breed mosquitoes? Was it a pretty bad place that way?"
Gus Demus,00:53:48:27,00;54;06;07,"Oh, yeah. There was. That brought mosquitoes. But they didn't kill. Okay. Cared when the Greeks let them know about the one."
Gus Demus,00:54:06:09,00;54;13;06,"In the summertime. Yeah, but obviously the mosquitoes."
Sam Schrager,00:54:13:09,00;54;15;10,How much swamp was it? Right around that?
Gus Demus,00:54:15:12,00;54;42;17,"Oh, not really much. Just strip, you know. And they have built a bridge in order to cross temporary bridge. It wasn't very strong either, until we managed to cross the cross from there to the depot or the depot. It is not. And then come up the store will store in person."
Sam Schrager,00:54:42:20,00;54;51;27,"Oh, you said, didn't make much money, but things were cheaper. Well, how much, how much money did, $2."
Gus Demus,00:54:51:29,00;55;01;23,$2 a day. Ten hours.
Gus Demus,00:55:01:25,00;55;07;26,$10 and cents. And then just an hour.
Sam Schrager,00:55:07:28,00;55;19;23,"$2. No, $0.20. Ten hours, then $0.20 an hour for ten hours for $2."
Gus Demus,00:55:19:26,00;55;28;02,So some you learn more to. But the common like I'm a labor liberal I work for 2 to $2 a month.
Sam Schrager,00:55:28:04,00;55;28;23,So.
Gus Demus,00:55:28:26,00;55;43;26,"Well, I work for less in a in a for less in railroads. So this is, this was, fair wage for that time."
Sam Schrager,00:55:43:29,00;55;51;21,"What did it cost to to live on when you get done with the expenses of the of the rent and the food, do you have anything left?"
Gus Demus,00:55:51:22,00;56;03;13,"I don't know, I've been having much. No, but, it cost, but, Oh."
Gus Demus,00:56:03:15,00;56;08;04,$3 a month.
Gus Demus,00:56:08:06,00;56;50;09,"No. Depend on, depending on the cook. If he was good. Good to me too. I, of course, of course, that. But never get cheap. Maybe $15 in one place. You know? You know, rather. There there's the destroyed the the further we the red light and, Oh, yes. You get a lot of rabbits, jackrabbits. And sometimes we have them small ones and, there are good meat."
Gus Demus,00:56:50:11,00;57;04;14,"And we got wrong for about $70 a month. Course, we did a lot of meat from the from them. Cottontail rabbits. You know, they were good."
Sam Schrager,00:57:04:17,00;57;08;10,Shoot them. Or how did you. How did you get them to trap them or shoot them?
Gus Demus,00:57:08:10,00;57;12;17,Not all shoot them.
Gus Demus,00:57:12:20,00;57;24;23,"We had a section foreman, boss. You know, he was a manager, you know, 22 rifle. And he like to shoot him."
Gus Demus,00:57:24:25,00;57;28;16,"So, you know, we're going one man, remember?"
Gus Demus,00:57:28:18,00;57;36;10,"Don't touch. Well, to speak or not speak out. If they had the hand gun and they did you see them?"
Sam Schrager,00:57:36:10,00;57;37;05,Yeah.
Gus Demus,00:57:37:07,00;57;47;18,"You used to stuff there. When you see one of them, you stubborn. And shoot him and I go get him."
Gus Demus,00:57:47:21,00;57;56;23,He was pretty good shot. Never miss.
Gus Demus,00:57:56:26,00;58;03;16,"No, miss. It was quite a quite a experience."
Sam Schrager,00:58:03:18,00;58;16;29,Well. In the mill. Did you ever see any bad accidents? Did you ever see any bad accidents in the mill?
Gus Demus,00:58:16:29,00;58;20;17,"Yes. Not in a mill, not on roller derby."
Sam Schrager,00:58:20:20,00;58;26;09,On the railroad. What did you see there?
Gus Demus,00:58:26:12,00;59;11;09,"I see the. I saw the train. Engine. On the passenger train. Got in. In a month. And all you could see was the chimney. And the fireman and the young engineer was caught between the tanker and the. And the engine, and the fireman apparently tried to jump, and he was caught on the the rail, and he was cutting the back, you know, splitting the back."
Gus Demus,00:59:11:09,00;59;47;17,"And they covered. But I did you see them because you the fireman or the engineer, you can you can see nothing but him. He was a tanker and the engine was, Connected together. And he was apparently he was trying to stop the train on engine, and, I don't know how it happened, but, they thought that the the switch, the switch was open."
Gus Demus,00:59:47:19,01;00;06;09,"Either open or half open and hit the, ramps and went over and run, you know, with the engine run down, you was going pretty good speed to probably 60 or 70 miles an hour or more."
Sam Schrager,01:00:06:11,01;00;09;02,The engine went in the mud no more.
Gus Demus,01:00:09:02,01;00;25;14,"It was. And dirt, like, Well, it was a flat country. That was the other side. The Yakima. So it's like the whole."
Sam Schrager,01:00:25:17,01;00;29;26,Silla engineer was killed to.
Gus Demus,01:00:29:29,01;01;05;14,"The engineer and the fireman and the baggage man broke his own and leg. And other baggage man, I guess, was hurt. But the, I don't know, no other man was, no other accident? No. What was happening often, except of those 4 or 5 hours to get him to where hot."
Gus Demus,01:01:05:16,01;01;35;20,"I saw here and, you know, men, many, many accidents about their their minor cutting fingers and, and so on and so. And, I saw another accident in Mill. He was stripped from across all the other. You got the platinum? Rollers."
Gus Demus,01:01:35:22,01;01;46;19,"And, I don't know how he got cut, but they took all his clothes out. It even cut into his, socks. Even with the shoe."
Sam Schrager,01:01:46:22,01;01;51;16,"It took all that, but it did."
Gus Demus,01:01:51:18,01;01;55;24,He was not.
Sam Schrager,01:01:55:27,01;02;01;22,"There. You just told me about the arm to get killed, how he could lose his clothes and not get pulled in himself. No."
Gus Demus,01:02:01:22,01;02;19;02,"Well, yeah, it is, in rollers. Yeah, actually. Yeah. That. Bring them round. He was, he was cut over here and he hung. He ran to hold on to them through the rollers or."
Sam Schrager,01:02:19:02,01;02;20;27,It caught his bottom of his shirt.
Gus Demus,01:02:21:04,01;02;25;27,"Yeah, the whole shirt and everything. Everything. You slip stripped."
Sam Schrager,01:02:26:00,01;02;29;13,The people off. The people think that was pretty funny.
Gus Demus,01:02:29:16,01;02;58;01,"I think that's. I thought he was dead, but, we stopped. Of course we stopped the rollers. We couldn't stop the rollers. You had to stop the old mill in order to get him out. You see, because they were not separate, the rollers have to stop them, stop the whole sawmill. Them days they didn't have the the, safety, business they have now, you see."
Gus Demus,01:02:58:03,01;03;26;02,"And, well, you in order to stop the rollers, you had to stop the old sawmill there with. No, they have them separate. You see, with Morrison, you can stop any, any, and then they, they had only one big engine and a belt that brought brought to the dollar mill around, and you couldn't stop certain certain places."
Gus Demus,01:03:26:02,01;03;54;21,"You can stop you. Other places you couldn't. So you couldn't stop that. Then they had to restrict. And of course, they stopped that afterwards with the those to late. And, the mill right to her jump in or something of that and put it over him and it took him. They took him over to doctor and the doctor to send him to Austria."
Gus Demus,01:03:54:24,01;03;59;04,"The Russian collusion, hospital in collusion. This."
Sam Schrager,01:03:59:07,01;04;02;27,But this he didn't get really hurt the badly at all.
Gus Demus,01:04:02:27,01;04;05;20,"No, no, no, not at all."
Sam Schrager,01:04:05:22,01;04;09;04,Yeah. It's really what you call hanging on for dear life.
Gus Demus,01:04:09:06,01;04;47;08,"Well, he, he was, I don't know, he he hung on. He was a young man. He was pretty, but, used to the pretty good. And now another fella got cut down on his leg. And the cut his, leg off here. The underwear and the bent. He was pretty strong. Men, and he he put his foot down."
Gus Demus,01:04:47:10,01;05;00;25,"You don't didn't put him in. You see, there was a there was a border that held him from going in under there than if he went under. What he would, he would have been, smashed."
Sam Schrager,01:05:00:28,01;05;13;22,"Pulled out. And it did take his it took his leg off though. No, no, it took his foot off or what. No. Oh, it just as close. Oh I see, I see."
Gus Demus,01:05:13:24,01;05;22;13,"But he was strong man to take it, you know for sure. Yeah. He didn't get over there."
Gus Demus,01:05:22:16,01;05;52;12,"And a lot of times, you know, there were accidents. There were small, accidents. When you get caught in a machinery of some kind and the laws that are were probably swearing or something. One fella that the clients were and he just threw a lot of, he was quick enough to throw the sweater, and the sweater was run around the and, bring the rollers around."
Gus Demus,01:05:52:14,01;05;59;12,But he was pretty quick. The follow.
Gus Demus,01:05:59:14,01;06;07;25,"Yeah. Oh, she didn't have a button. If he had a button, were there the other loose, and he threw it out."
Sam Schrager,01:06:07:27,01;06;10;28,How dangerous do you think it was to work in in the.
Gus Demus,01:06:11:00,01;06;42;05,"It was dangerous them days because they didn't have the safety. Devices that they have now. But still. Now, just the other day, maybe, a year ago, one father got run into a hurry. So. And got cut even split in two."
Gus Demus,01:06:42:08,01;06;48;10,Young fella. Two. He was 18 years old.
Gus Demus,01:06:48:13,01;06;56;16,"A year or two, maybe three years ago. I don't know."
Sam Schrager,01:06:56:18,01;07;02;07,"Do you remember people getting killed in the mill when you work there, even if you didn't see it?"
Gus Demus,01:07:02:09,01;07;40;16,"Yes. I remember one in, Engine room. Or the engine door? The whole mill. Them there. You see, here's the. They used to have a belt, four foot belt. And I don't know how many how many cows it took them to make that belt. But it took very many because it was. Pretty wide, 4 or 5ft belt."
Gus Demus,01:07:40:17,01;08;12;26,"You know, in that dollar, the whole mill. And of course, they had some other belts, to, and done other machinery, but they were connected and without one that was the main belt. And the other one was the, belt around the, they saw. And one following, in the engine room."
Gus Demus,01:08:12:29,01;08;48;01,"I don't know what happened. I wasn't there, but they told me that they got killed. The engine itself has some more said, you know, that they were on. I don't know what they do. What a what are they for? But anyway, it the it broke loose and, one of the them, things that they had them and I did I right then insulted."
Gus Demus,01:08:48:03,01;09;04;22,"I didn't see him because there was, out of my department there. You know, I was working different, part of the mill. And he was in the engine room."
Sam Schrager,01:09:04:24,01;09;11;05,What was the the work that you were doing in the mill on? It was on the edger.
Gus Demus,01:09:11:08,01;09;11;12,No.
Sam Schrager,01:09:11:12,01;09;15;15,No trimmer on the trimmer? Yeah. What was the work that you that you had?
Gus Demus,01:09:15:17,01;09;40;04,"Well, I was, I was, in a cage like a monkey and put saws. You see, they had a three mares, saw in every two feet. And I had to trim the log accordingly at the pool. So I. According to the piece of lumber and property. That's why I got a I got these eyes. I ruined."
Gus Demus,01:09:40:06,01;10;00;03,"I had to watch every piece of lumber that went through the mirror. Millions of pieces of wood through. I had to watch for great to, trim the defects of the lumber and deliver the goods on to go out."
Gus Demus,01:10:00:05,01;10;14;11,"In green chain. And from there, the whole all through the yard and days. Now they got the stockers and the, the diet then killings."
Sam Schrager,01:10:14:14,01;10;21;13,"Where how much, how much did you, have to do? How much would you trim off of, the lumber when it came to you?"
Gus Demus,01:10:21:17,01;10;35;13,"Well, depend on the or do they need a trimming or not? If in some of it they need trim and you let it go and, or whichever is needed to be trimmed away, you have to understand that, you see."
Sam Schrager,01:10:35:15,01;10;37;14,What kind of defects would there be in there?
Gus Demus,01:10:37:14,01;11;03;02,"And the fact that it had been rotten or we had, bad not or and the other one was, select and you have to cut the off. It's, it was not the high quality grade a little. You got to understand, it's the same high skilled work. Well, they should be skilled, but if it's a if you got one."
Gus Demus,01:11:03:02,01;11;07;12,"But the they call it so much, you."
Sam Schrager,01:11:07:15,01;11;10;09,Is that what you did when you started? Oh.
Gus Demus,01:11:10:10,01;11;27;16,"Go on. I started when I started, I throw a lumber on the top there, spot the lumber on the three. And I had to work nine years before I. I got a new job."
Gus Demus,01:11:27:19,01;11;32;25,So it was hard work.
Gus Demus,01:11:32:27,01;11;44;01,Cause I work wasn't too hard. You had to watch it and do a good job.
Sam Schrager,01:11:44:03,01;11;47;22,"You mean pulling the saws wasn't, wasn't as hard as the."
Gus Demus,01:11:47:22,01;12;27;14,"No, it wasn't hard. And now, in the last days before I retired, they changed them. Used to be manual, pulling. You see the the, and now they got a air pool. You know, they got a button. Yeah. And you push the button I miss, so comes on. It's, the works by air and then days they what by, the you had to pull it, but, of course, in the."
Gus Demus,01:12:27:16,01;12;48;00,"They were well adjusted so they won't pull so hard. And they dropped quick enough to clear the lumber. You see, it was manual. And they are. It's, Well, it's the machinery that does the work, but the. You have to pull."
Sam Schrager,01:12:48:02,01;12;56;16,"When when you pull the source there. I'm trying to picture what it was. Did you change the dimension, the lumber when you when you trimmed it."
Gus Demus,01:12:56:18,01;13;02;15,"No, he's not sure. The dimension. Dimension. It's the thickness, you know."
Sam Schrager,01:13:02:18,01;13;06;17,Okay. You didn't change the thickness. You change the. Did you change the length sandwich.
Gus Demus,01:13:06:21,01;13;56;23,"Yes. Okay. Not to you change the length. And, you trim accordingly. You see, if the board, you get a 16ft or 20ft longer and, one, from, one piece from ten feet up to 20, it's got a notch in there and the other one is clean. Why? You cut it in the two, then you avoid remanufacturing, you know, outside, you see, you do it in a mill and you cheaper because if you don't have to cut it out there anyway in order to grade, you see."
Gus Demus,01:13:56:26,01;14;09;13,"And if you don't cut it, the, the, grader will pull it off and market."
Gus Demus,01:14:09:15,01;14;20;11,"Oh, I had a lot of trouble with some graders who still don't understand, you know, understand their business with the. We made it all right."
Sam Schrager,01:14:20:14,01;14;23;00,Where where would they this where they disagree with you?
Gus Demus,01:14:23:00,01;14;28;27,"Well, you should disagree with that. Guys, do."
Gus Demus,01:14:28:29,01;14;35;03,That's without a right. Unless without a wrong.
Sam Schrager,01:14:35:05,01;14;38;21,"Well, the greater the greater it looked at it after you, right?"
Gus Demus,01:14:38:24,01;14;45;01,Yes.
Gus Demus,01:14:45:04,01;14;58;26,"Yeah. I think, well, you see, when it goes over the trimmer, it falls over on the table then, and that is a greater and much."
Gus Demus,01:14:58:28,01;15;18;19,"And so greater they don't, Market. Right. They pull it off for trimming and, no need trimming."
Gus Demus,01:15:18:22,01;15;41;23,"And I don't trim it. Then I let it go again, and then you look at it again. Then I said. You let it go. But he he pulls it off. What if he's a stubborn? You might pull it off anyway. Yeah."
Sam Schrager,01:15:41:26,01;15;45;28,"Well, is is it just, it's just a question in judgment or."
Gus Demus,01:15:46:01,01;15;46;29,Personal judgment.
Sam Schrager,01:15:46:29,01;15;48;13,Or is it.
Gus Demus,01:15:48:15,01;15;59;22,As good judgment? Do you either use good judgment or bad judgment?
Gus Demus,01:15:59:24,01;16;10;24,"Oh, I had, I had quite a. Quite a thing with some graders with,"
Gus Demus,01:16:10:26,01;16;17;14,"Some the equipment, they understand their business."
Gus Demus,01:16:17:16,01;16;22;02,All the time. If you know.
Sam Schrager,01:16:22:04,01;16;25;17,"Is it something that takes a long time? A lot of years to,"
Gus Demus,01:16:25:19,01;16;35;08,"Well, yes. Sometime. It is. And, to run away. You know, it takes some time."
Sam Schrager,01:16:35:11,01;16;46;20,"All these nine years that you were were, throwing the lumber or spotting Spud, were you, were you learning, how to trim to running?"
Gus Demus,01:16:46:20,01;17;14;18,"Because you you you see how it relates to see, at first you don't you don't pay attention or you do, you try to do your work, but when you do try to do your own, you would get it for so long. You, you. It's easy. You watch. Oh, he's doing one of them. You do it yourself because I change it around once in a while, you know, with a circular."
Gus Demus,01:17:14:21,01;17;43;03,"I only need to do do some exercises himself. Okay. Can you talk a bit? You come down, work in a spiral of the. And I go up there. It takes a lot of time and experience to do not the a job to do or do. They?"
Gus Demus,01:17:43:06,01;18;02;07,But the experience many make it possible to do a good job.
Gus Demus,01:18:02:10,01;18;04;13,"Okay, now let's talk about something else. Now."
Sam Schrager,01:18:04:19,01;18;13;00,"Oh, I'm just thinking there's one more thing I was thinking about there. And that's the nine, nine years that it took you to,"
Gus Demus,01:18:13:02,01;18;42;29,"To it. Don't take the it don't take that long to learn, but, nine years it took me to get the job steady. You see. And because that follow that was very, wrong there. And you couldn't take him off. But it happen. And after nine years that went through a different place, they took him up from the sawmill and put him in the and and it was doing the same kind of work, you see."
Gus Demus,01:18:42:29,01;18;46;01,And that's how he got the job.
Sam Schrager,01:18:46:03,01;18;53;02,"Were you, were you the next in line for the job anywhere? How did you how did they know that you were next in line? How does that."
Gus Demus,01:18:53:02,01;19;25;08,"Work? Well, the boss did it. The foreman wasn't. And there was. Another fellow went ahead of me, and it is in known. But when he found out the unknown check, you know, you got his check. Justin is, spotted. He went over there to ask your sister. He says, who are you doing? He says you put inside, you know, and that that was, changing around with him."
Gus Demus,01:19:25:10,01;19;38;29,You says you don't belong there. You you you belong on the starting line where you the Gus is blowing over there. The.
Gus Demus,01:19:39:01,01;19;51;24,"He was trying to get the job, you know, but it didn't work. He was a good man. Was the foreman."
Gus Demus,01:19:51:27,01;19;57;05,"But. Dummy. And I let him go ahead. You see. But, you know, like."
Sam Schrager,01:19:57:07,01;20;01;02,"After you waited so many years, you still let the guy go ahead."
Gus Demus,01:20:01:05,01;20;08;15,"Yeah. Well, then I thought the boss was, The boss told him to."
Sam Schrager,01:20:08:18,01;20;10;23,"Oh, I see."
Gus Demus,01:20:10:25,01;20;36;11,"But the boss didn't say nothing to him. He thought that I was supposed to be there anyway, when you went over there to straighten his check out, he says you don't belong there. What the heck are you doing? You. You know. And again, this is, you know, spot. You."
Gus Demus,01:20:36:14,01;20;45;14,"How? And he gave me the, So put his job. That is a check to."
Sam Schrager,01:20:45:16,01;20;54;21,How what what? This was this guy was this guy doing the pulling for that for that period of time before he got his check? Or were you doing pulling?
Gus Demus,01:20:54:23,01;20;56;19,"No, he was, he was he was the one."
Sam Schrager,01:20:56:25,01;20;57;13,Yeah.
Gus Demus,01:20:57:15,01;21;17;12,"And I was I don't know, it's, helping you that is going on. I do want to get out there. I go out there. But the. But the boss thought that, I was the steady puller there, you know, interpretation. You. So you saw him up there sometime? You sort of probably got let him, work there for a while."
Gus Demus,01:21:17:14,01;21;27;06,"Well, course I used to. I used to go down there and work, you know, and change around with him, but I didn't have to."
Sam Schrager,01:21:27:08,01;21;30;29,"What job had this guy come from? Do. And before he got, he was."
Gus Demus,01:21:30:29,01;21;35;12,Pardon me. I used on the.
Sam Schrager,01:21:35:14,01;21;45;01,"What I was going to ask was how important was, was it to have a good form? Was there a big difference between form, some good, some bad, or how."
Gus Demus,01:21:45:04,01;22;11;17,"Is sure you do a good good for me? Well, you give you what, you what you worth over there now, like the the the foreman that if he was some crooked men and, and, and this, other fella told him there are important saws. You let him go, let him pool saws and let me build."
Gus Demus,01:22:11:20,01;22;28;07,"But he told me he was right, man. He was, upright man. He says, no, you don't blow the is ahead of you. And he told him, no, you don't, you know, obey the."
Gus Demus,01:22:28:10,01;22;34;23,So you see the difference.
Gus Demus,01:22:34:26,01;22;46;18,"And he was a man you can do. But, making an effort to do it. I was doing the work better than he."
Gus Demus,01:22:46:21,01;23;01;15,"And that didn't make any difference, you see. Do do the boss, efficient and do the job well and give it to him."
Gus Demus,01:23:01:17,01;23;17;14,"So there you are. It's, much difference in, And, running the business. He was upright, man. He was a good man. All gentleman."
Sam Schrager,01:23:17:16,01;23;32;08,You think the foremen were closer to the men? The working men or to the management? As far as where they looked for one. Yeah. Would they? More like the. Were they more like the working men or were they more like management?
Gus Demus,01:23:32:10,01;23;32;23,"Well, I don't."
Sam Schrager,01:23:32:23,01;23;34;29,Know what I mean.
Gus Demus,01:23:35:01,01;24;01;16,"Well, I, the, the, the foreman, usually, I had men in a mill and, you, I'm, I still base, him, management. There's nothing they say up in office. They don't know what you're doing there. Like you're lower than the other fellows. Oh. They were up in, you know, office in the foreman."
Gus Demus,01:24:01:16,01;24;07;25,There were. He was the boss of the mill.
Gus Demus,01:24:07:28,01;24;31;06,"And of course, he, He was a company men. He wasn't the men for the, but he was, just men, you know, he was, he gave the men the, right of come to."
Gus Demus,01:24:31:08,01;24;48;24,"John Marsh. He was a good man. He was talking to himself sometime because she had a job that got him his nerves. And he finally, they finally let him off."
Gus Demus,01:24:48:27,01;24;56;18,"You know,"
Gus Demus,01:24:56:21,01;25;26;01,"Oh. So I'm a good foreman since I'm no good. We had one son of a gun, man. He tried to. He couldn't fire me, but he was trying to put somebody that wouldn't get me into trouble with the other fellows. You. Do fire me. And. But he didn't succeed. And he finally got retired."
Gus Demus,01:25:26:04,01;25;29;00,"Oh, it wasn't all easy down there."
Sam Schrager,01:25:29:03,01;25;35;05,What did the like. What would this what would this foreman be doing that somebody else he favored or something? Did he have a reason.
Gus Demus,01:25:35:05,01;25;43;07,"He was trying to get somebody else? Yeah. Because he got out much money. Is he in,"
Gus Demus,01:25:43:09,01;25;58;28,"It was his friend. The other fella. He was, I don't know what he was doing. Maybe, but, and then work."
Sam Schrager,01:25:59:00,01;26;05;16,"There's more than one foreman in the in the mill, wasn't there? You know, just one form for the whole room and one."
Gus Demus,01:26:05:18,01;26;17;20,One for the sawmill and one for. One for the planer. And there are it's usually used for emergency hand grenades.
Sam Schrager,01:26:17:22,01;26;18;20,Oh. He's a foreman.
Gus Demus,01:26:18:20,01;26;27;26,"The sister of Susan Foreman. Now, if it's a big job somewhere."
Gus Demus,01:26:27:28,01;26;34;25,"Down there to the foreman. And,"
Gus Demus,01:26:34:27,01;26;38;22,Yeah.
Gus Demus,01:26:38:24,01;26;45;04,"Yeah. This is the assistant foreman that, look after the smaller things, you know?"
Sam Schrager,01:26:45:07,01;26;51;10,"Are they, the assistant foreman, like crew foreman? They have a crew underneath them."
Gus Demus,01:26:51:10,01;27;26;20,"Well, yes. No, they have the whole crew with the is, something that the head foreman can do. I, he probably, suits the foreman in order to, see it all, you know, because it's usually the foreman, sometimes is in different places. You, look around for other things and then decide if this your system for money."
Gus Demus,01:27:26:22,01;27;50;06,You looking into the planner or something? They don't have a system foreman. So you have only one foreman. That's all. Then of course it's out there. And one where they put the logs up. There's a foreman there. You got a crew of his own?
Sam Schrager,01:27:50:09,01;27;54;08,How big? How big was a sawmill crew then?
Gus Demus,01:27:54:16,01;27;55;19,Not very big. No.
Sam Schrager,01:27:55:22,01;28;00;20,"I mean then then, yeah. Oh, with the foreman."
Gus Demus,01:28:00:22,01;28;05;21,Let's see. By 75 people.
Sam Schrager,01:28:05:23,01;28;07;12,Just know one foreman.
Gus Demus,01:28:07:18,01;28;18;06,"For all them guys. Yeah. And now it's, it's about five. It's, you know, the machinery that."
Sam Schrager,01:28:18:09,01;28;21;03,Is that good? All that automation?
Gus Demus,01:28:21:05,01;28;27;14,"Yes. Who are they? Were three men. So no one, no."
Sam Schrager,01:28:27:17,01;28;32;06,What do you think? What do you think about that?
Sam Schrager,01:28:32:09,01;28;34;25,It seems like you can put a lot of people out of work.
Gus Demus,01:28:34:26,01;28;38;16,"Oh, yes."
Gus Demus,01:28:38:18,01;28;51;12,"Yes. Of course they don't. But the lumber, they did their days. No big closed. And,"
Gus Demus,01:28:51:14,01;29;09;14,"And, quantity, the quantity is cut down. No, they, they cut they cut the only dimension. They cut. Everyone that they don't cut one inch."
Sam Schrager,01:29:09:16,01;29;14;03,But guess you're saying that there was there was just one foreman for 75 men.
Gus Demus,01:29:14:06,01;29;17;16,Yes.
Gus Demus,01:29:17:18,01;29;23;23,"And, a lot of men."
Gus Demus,01:29:23:25,01;29;44;19,"Well, I don't know. How many are. They were 75 or 70, but they were. Yeah, it was, it was 70 anyway. And, probably ten, ten others were down even like me, which is included in sawmill, you see, because but the lot mainly separate because, you know, a lot is."
Sam Schrager,01:29:44:21,01;29;47;00,Yeah.
Gus Demus,01:29:47:02,01;29;52;10,"They were making a lot. Now they don't make, they have, oh."
Sam Schrager,01:29:52:15,01;29;55;18,"What what is life now? Tell me, tell me now."
Gus Demus,01:29:55:20,01;30;30;09,"Like, it's, it's like, got a quarter of an inch thick and, but two inches wide and both four feet long. And they were making them laths. There were no lumber, 20 the, Between the walls and put plaster on them and, not that is lath. They used to, they didn't plan them or anything."
Gus Demus,01:30:30:10,01;30;54;09,"They were rough, you see, they were on under the surface of the of the, wall. They were classroom, all of them days. None of the homes was there a plaster. And they would life in order to hold the plaster. You see,"
Gus Demus,01:30:54:12,01;31;10;05,"And that is love, they call it. They did. They brought a lot of the. Oh, but 40,000. Bundles. They die them in abundance."
Sam Schrager,01:31:10:07,01;31;11;28,That was separate from the sawmill.
Gus Demus,01:31:11:28,01;31;45;09,"The life that was separated. Yes. It was, And follow the the contract. And he was hunting his own men. But sometimes they changed him. That is a fee. And so many men needed one man. How long you you showed the men. You know it on him. On for a short time."
Gus Demus,01:31:45:11,01;32;00;07,"Yeah. It's, They don't make no more men because they have different, the plasterboard, the knowledge. Nothing to."
Sam Schrager,01:32:00:09,01;32;03;01,How noisy was it in the mill?
Gus Demus,01:32:03:04,01;32;41;00,"But the noise was from done. Not on time, but all the time. And I wonder how I. You. I got through, the, Here you watch the fellows on the down there. They get, Deaf. You can hear. I can hear very good. You know. But I hear, you know, ordinary voice. Right? I can hear very good in the whole, you know, large hall."
Gus Demus,01:32:41:00,01;32;48;15,"You know, what is, open, like in the Masonic Hall there? Like, you know, sometimes I can hear you same."
Sam Schrager,01:32:48:16,01;32;52;14,"A lot of the guys lost, lost their hearing in the mill."
Gus Demus,01:32:52:16,01;33;17;05,"Yes. This one guy up here, the is still working now, but he can even be there. He's got a he's got two. They they had years for that. Them days. And, let I'll let him go with that paladin thinking to develop the in the. Yes. There no."
Sam Schrager,01:33:17:07,01;33;19;27,It's going to be greater say the greater.
Gus Demus,01:33:19:27,01;33;26;13,Well you know he know because he had the desire to orders from the head greater.
Sam Schrager,01:33:26:15,01;33;29;24,So did he try to eat the board?
Gus Demus,01:33:29:27,01;33;33;10,That I don't know.
Sam Schrager,01:33:33:13,01;33;35;18,Him.
Gus Demus,01:33:35:20,01;33;49;01,"Yeah. He, he put it out and showed that greater when you go round and you said. Yeah, that's all right. And he told me, he explained to him what, what they use him for."
Gus Demus,01:33:49:03,01;34;03;15,But the. He didn't think that should go out. You see that way he thought you should be cut up.
